,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
35,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,23.9,%,859,205,28.30%,20.10%,749
36,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,22,%,331,73,29.20%,16.20%,299
37,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,30.7,%,104,32,43.60%,20.30%,116
38,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,16.7,%,286,48,24.70%,11.00%,238
39,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,East,Region,All,16+,All,Physically inactive,30.3,%,161,49,41.70%,20.90%,144
40,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,24.2,%,30542,7401,25.10%,23.40%,19887
41,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,21.1,%,13723,2892,22.20%,20.00%,10782
42,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,20,%,4028,806,22.50%,17.80%,2855
43,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,31.6,%,5728,1810,34.30%,29.00%,2365
44,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,28.1,%,2566,721,31.50%,24.90%,1297
45,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,26.6,%,587,156,33.50%,20.70%,319
46,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,18.6,%,1111,207,23.20%,14.70%,522
47,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,London,Region,All,16+,All,Physically inactive,30.6,%,1184,362,36.40%,25.40%,529
48,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,27.9,%,9560,2670,29.30%,26.60%,9046
49,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,27.6,%,8757,2420,29.10%,26.30%,8305
50,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,23.7,%,186,44,37.90%,13.70%,211
51,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,30.7,%,205,63,43.80%,20.10%,152
52,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,30
53,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,49
54,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,51
55,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,39
56,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,27.2,%,25691,6980,28.00%,26.40%,28223
57,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,26.6,%,21865,5807,27.40%,25.70%,24794
58,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,20.7,%,870,180,24.50%,17.30%,904
59,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,31.4,%,1350,424,35.60%,27.60%,973
60,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,35,%,297,104,43.40%,27.50%,253
61,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,46.3,%,177,82,57.20%,35.70%,153
62,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,24.7,%,269,66,34.00%,17.30%,219
63,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,North West,Region,All,16+,All,Physically inactive,37.9,%,166,63,47.40%,29.10%,173
64,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,23.4,%,32052,7513,24.10%,22.80%,36302
65,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,23.1,%,26984,6225,23.70%,22.40%,30877
66,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,24,%,1610,386,26.80%,21.40%,1945
67,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,27.6,%,1307,360,31.50%,23.90%,1219
68,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,23.4,%,338,79,30.80%,17.30%,317
69,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,22.3,%,174,39,32.30%,14.70%,176
70,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,13.3,%,431,57,18.60%,9.40%,369
71,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South East,Region,All,16+,All,Physically inactive,34.8,%,250,87,43.40%,27.00%,250
72,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,22.5,%,19953,4486,23.30%,21.70%,22405
73,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,22.3,%,18026,4018,23.20%,21.40%,20438
74,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,19.2,%,721,138,23.20%,15.70%,764
75,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,24.2,%,265,64,32.10%,17.70%,220
76,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,37.9,%,121,46,53.30%,24.60%,96
77,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,61
78,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,153
79,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,80
80,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,28.4,%,20447,5812,29.40%,27.50%,19341
81,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,27.5,%,15980,4397,28.50%,26.50%,16535
82,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,26.9,%,705,190,32.30%,22.10%,604
83,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,33.2,%,2022,671,37.40%,29.20%,1029
84,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,30.5,%,531,162,40.70%,21.80%,295
85,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,63
86,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,20.5,%,276,57,30.40%,13.30%,162
87,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,West Midlands,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,103
88,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,27.7,%,5357,5357,28.80%,26.60%,15158
89,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,27.1,%,16554,4489,28.30%,26.00%,13614
90,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,26.4,%,538,142,32.90%,20.80%,400
91,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,31.5,%,1153,363,37.40%,26.10%,449
92,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,38.7,%,215,83,51.50%,27.30%,118
93,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,35
94,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,94
95,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,70
96,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,14.7,%,27894,4111,15.60%,13.90%,13145
97,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,12.5,%,19416,2432,13.40%,11.70%,9830
98,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,13.5,%,1166,158,17.90%,10.10%,614
99,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,22.2,%,3649,811,25.50%,19.20%,1212
100,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,18.6,%,1111,207,24.00%,14.20%,388
101,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,24.4,%,354,86,34.50%,16.50%,152
102,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,15.3,%,1038,159,20.90%,11.00%,408
103,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-24,All,Physically inactive,?,%,?,?,?,?,140
104,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,19.6,%,32522,6370,20.40%,18.80%,24481
105,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,16.9,%,21985,3724,17.80%,16.10%,17691
106,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,20.3,%,3662,744,22.80%,18.10%,2669
107,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,29.9,%,3292,986,33.20%,26.90%,1800
108,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,27.3,%,748,204,35.10%,20.60%,460
109,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,32.1,%,435,140,41.30%,24.10%,272
110,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,17.5,%,756,132,22.80%,13.30%,483
111,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,25-34,All,Physically inactive,26.6,%,552,147,34.30%,20.00%,299
112,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,20.3,%,30550,6189,21.00%,19.60%,30895
113,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,16.9,%,21330,3601,17.60%,16.20%,22976
114,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,23.2,%,2579,599,25.60%,21.00%,2694
115,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,33.1,%,3264,1080,36.10%,30.20%,2378
116,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,26.1,%,894,234,31.10%,21.70%,663
117,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,30.1,%,296,89,38.90%,22.50%,268
118,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,16.3,%,494,80,21.50%,12.20%,418
119,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,35-44,All,Physically inactive,30.8,%,591,182,38.10%,24.30%,408
120,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,22.2,%,33540,7461,22.90%,21.60%,34273
121,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,21.2,%,27408,5808,21.90%,20.50%,28962
122,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,23.1,%,1333,308,26.70%,19.90%,1541
123,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,30.7,%,1851,568,34.60%,27.00%,1185
124,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,27.3,%,1010,276,32.20%,22.90%,728
125,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,31,%,177,55,41.10%,22.40%,176
126,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,17.9,%,388,69,25.30%,12.30%,339
127,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically inactive,34.2,%,368,126,44.00%,25.70%,254
128,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,28.1,%,26876,7546,28.80%,27.40%,37699
129,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,27.2,%,23540,6393,27.90%,26.40%,34000
130,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,25,%,770,192,30.10%,20.50%,1081
131,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,39.2,%,911,357,44.70%,33.90%,681
132,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,40,%,468,187,47.20%,33.10%,380
133,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,49,%,96,47,63.70%,34.50%,117
134,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,32.5,%,164,53,42.20%,24.10%,195
135,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically inactive,37,%,212,78,47.30%,27.70%,199
136,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,30.9,%,24199,7478,31.50%,30.30%,37300
137,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,30.3,%,22186,6718,30.90%,29.60%,34739
138,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,32.7,%,616,202,37.30%,28.50%,852
